%TITLE%
 KHUM   240728/1900

   LEVEL       HGHT       TEMP       DWPT       WDIR       WSPD
-------------------------------------------------------------------
%RAW%
 484.03,    6139.79,      -8.05,      -9.45,     174.10,      33.56
 482.67,    6161.70,      -7.93,      -9.62,     175.69,      33.60
 481.31,    6183.64,      -8.14,      -9.51,     176.21,      33.58
 479.95,    6205.59,      -8.22,      -9.42,     176.27,      33.50
 478.59,    6227.58,      -8.12,      -9.65,     176.21,      33.19
 477.25,    6249.38,      -8.09,     -10.30,     176.10,      33.10
 475.90,    6271.46,      -8.26,     -10.40,     176.14,      32.85
 474.54,    6293.65,      -8.33,     -10.36,     176.34,      32.52
 473.16,    6316.32,      -8.49,     -10.65,     176.17,      32.42
 471.72,    6339.91,      -8.55,     -10.83,     175.73,      32.75
 470.26,    6364.11,      -8.78,     -11.19,     175.36,      32.87
 468.79,    6388.39,      -8.80,     -11.55,     175.17,      33.08
 467.34,    6412.39,      -8.85,     -11.68,     175.13,      33.24
 465.87,    6436.66,      -8.93,     -11.89,     175.37,      33.19
 464.38,    6461.48,      -9.20,     -11.95,     175.52,      33.50
 462.83,    6487.35,      -9.49,     -11.96,     175.43,      34.17
 461.24,    6514.06,      -9.75,     -11.94,     175.43,      34.58
 459.60,    6541.50,      -9.86,     -12.02,     175.16,      35.05
 457.97,    6568.98,      -9.90,     -12.29,     174.66,      35.16
 456.35,    6596.27,     -10.09,     -12.43,     174.21,      35.03
 454.74,    6623.51,     -10.30,     -12.68,     173.90,      35.05
 453.16,    6650.33,     -10.45,     -12.68,     173.57,      34.85
 451.59,    6677.16,     -10.65,     -13.02,     173.43,      34.75
 450.01,    6704.09,     -10.80,     -13.20,     173.39,      34.67
 448.46,    6730.66,     -11.06,     -13.41,     173.05,      34.35
 446.92,    6757.04,     -11.27,     -13.58,     172.82,      34.00
 445.39,    6783.38,     -11.44,     -13.78,     172.81,      33.57
 443.87,    6809.67,     -11.59,     -13.84,     172.80,      33.14
 442.37,    6835.48,     -11.82,     -14.07,     172.80,      32.97
 440.90,    6860.98,     -11.98,     -14.23,     172.74,      33.15
 439.44,    6886.48,     -12.21,     -14.08,     172.60,      33.47
 437.96,    6912.19,     -12.46,     -14.48,     172.23,      33.87
 436.50,    6937.65,     -12.63,     -14.40,     172.18,      34.23
 435.05,    6963.10,     -12.86,     -14.36,     172.02,      34.33
 433.62,    6988.20,     -13.10,     -14.50,     171.59,      34.10
 432.19,    7013.50,     -13.22,     -14.67,     171.44,      33.71
 430.77,    7038.60,     -13.43,     -14.83,     171.38,      33.18
 429.37,    7063.27,     -13.64,     -14.89,     171.55,      32.60
 428.04,    7086.93,     -13.83,     -14.96,     171.66,      32.30
